name,state,url,platform,platform_url,ags,kind,state_id
Aachen,Nordrhein-Westfalen,http://wahlen.regioit.de/AC/05334002/index.html,votemanager,http://wahlen.votemanager.de/,05334002,Stadt,05
Aachen,Nordrhein-Westfalen,http://wahlen.regioit.de/AC/05334000/index.html,votemanager,http://wahlen.votemanager.de/,05334002,Stadt,05
Aalen,Baden-Württemberg,http://www.aalen.de/aktuelle-ergebnisse.53624.25.htm,votemanager,http://wahlen.votemanager.de/,08136088,Stadt,08
Achim,Niedersachsen,http://votemanager.kdo.de/03361001/index.html,votemanager,http://wahlen.votemanager.de/,03361001,Stadt,03
Ruhmannsfelden,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-achslach_58.html,votemanager,http://wahlen.votemanager.de/,09276142,Gemeinde,09
Ruhmannsfelden,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-gotteszell_66.html,votemanager,http://wahlen.votemanager.de/,09276142,Gemeinde,09
Ruhmannsfelden,Bayern,http://www.wahl.info/kandidaten/ort/markt-ruhmannsfelden_56.html,votemanager,http://wahlen.votemanager.de/,09276142,Gemeinde,09
Ruhmannsfelden,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-zachenberg_75.html,votemanager,http://wahlen.votemanager.de/,09276142,Gemeinde,09
Adelebsen,Niedersachsen,https://wahlen.kdgoe.de/03159001/index.html,votemanager,http://wahlen.votemanager.de/,03152001,Gemeinde,03
Adenau,Rheinland-Pfalz,https://wahlen.ewois.de/m117/index.html,votemanager,http://wahlen.votemanager.de/,07131001,Stadt,07
Aerzen,Niedersachsen,http://votemanager.kdo.de/03252001/index.html,votemanager,http://wahlen.votemanager.de/,03252001,Gemeinde,03
Hodenhagen,Niedersachsen,http://www.ahlden.info/sg_ahlden/de/Wahlen/Kommunalwahl%202016/,votemanager,http://wahlen.votemanager.de/,03358014,Gemeinde,03
Ahlen,Nordrhein-Westfalen,http://wahlen.ahlen.eu/app/index.html,votemanager,http://wahlen.votemanager.de/,05570004,Stadt,05
Aholming,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-aholming_8.html,votemanager,http://wahlen.votemanager.de/,09271111,Gemeinde,09
Aicha vorm Wald,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-aicha-vorm-wald_94.html,votemanager,http://wahlen.votemanager.de/,09275111,Gemeinde,09
Aichhalden,Baden-Württemberg,http://wahlen11.rz-kiru.de/08325001W/index.html,votemanager,http://wahlen.votemanager.de/,08325001,Gemeinde,08
Aidenbach,Bayern,http://www.wahl.info/kandidaten/ort/markt-aidenbach_81.html,votemanager,http://wahlen.votemanager.de/,09275112,Gemeinde,09
Aidenbach,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-beutelsbach_97.html,votemanager,http://wahlen.votemanager.de/,09275112,Gemeinde,09
Ainring,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-ainring_207.html,votemanager,http://wahlen.votemanager.de/,09172111,Gemeinde,09
Aitrach,Baden-Württemberg,http://wahlen11.rz-kiru.de/08436004W/index.html,votemanager,http://wahlen.votemanager.de/,08436004,Gemeinde,08
Aldenhoven,Nordrhein-Westfalen,http://wahlen.kdvz-frechen.de/kdvz/05358004/index.html,votemanager,http://wahlen.votemanager.de/,05358004,Gemeinde,05
Aldersbach,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-aldersbach_95.html,votemanager,http://wahlen.votemanager.de/,09275114,Gemeinde,09
Alfter,Nordrhein-Westfalen,http://wahlen.kdvz-frechen.de/civitec/05382004/index.html,votemanager,http://wahlen.votemanager.de/,05382004,Gemeinde,05
Alsdorf,Nordrhein-Westfalen,http://wahlen.regioit.de/AC/05334004/index.html,votemanager,http://wahlen.votemanager.de/,07132002,Gemeinde,07
Alsdorf,Nordrhein-Westfalen,http://wahlen.regioit.de/AC/05334004/index.html,votemanager,http://wahlen.votemanager.de/,05334004,Stadt,05
Alsdorf,Nordrhein-Westfalen,http://wahlen.regioit.de/AC/05334004/index.html,votemanager,http://wahlen.votemanager.de/,07232002,Gemeinde,07
Alsfeld,Hessen,http://www.wahl.alsfeld.de/index.html,votemanager,http://wahlen.votemanager.de/,06535001,Stadt,06
Altena,Nordrhein-Westfalen,http://wahlen.citkomm.de/05962004/index.html,votemanager,http://wahlen.votemanager.de/,05962004,Stadt,05
Altenahr,Rheinland-Pfalz,http://www.app.vg-altenahr.de/index.html,votemanager,http://wahlen.votemanager.de/,07131003,Gemeinde,07
Altenbeken,Nordrhein-Westfalen,http://wahlen.regioit.de/GT/05774004/index.html,votemanager,http://wahlen.votemanager.de/,05774004,Gemeinde,05
Altenkirchen (Westerwald),Rheinland-Pfalz,http://www.vg-altenkirchen.de/WahlApp/index.html,votemanager,http://wahlen.votemanager.de/,07132501,Stadt,07
Altenkirchen (Westerwald),Rheinland-Pfalz,http://service.kreis-altenkirchen.de/Wahlen-2014/index.html,votemanager,http://wahlen.votemanager.de/,07132501,Stadt,07
Lemförde,Niedersachsen,http://votemanager.kdo.de/032515401/index.html,votemanager,http://wahlen.votemanager.de/,03251023,Gemeinde,03
Altötting,Bayern,http://www.wahl.info/kandidaten/landkreis/altoetting_10.html,votemanager,http://wahlen.votemanager.de/,09171111,Stadt,09
Altötting,Bayern,http://www.wahl.info/kandidaten/ort/stadt-altoetting_161.html,votemanager,http://wahlen.votemanager.de/,09171111,Stadt,09
Alzey,Rheinland-Pfalz,http://www.wahlen.alzey.de/App/index.html,votemanager,http://wahlen.votemanager.de/,07331003,Stadt,07
Alzey,Rheinland-Pfalz,http://www.alzey-land.de/de/mobile/index.html,votemanager,http://wahlen.votemanager.de/,07331003,Stadt,07
Am Mellensee,Brandenburg,http://wahlen.regioit.de/GT/12072002/index.html,votemanager,http://wahlen.votemanager.de/,12072002,Gemeinde,12
Amberg,Bayern,http://www.amberg-sulzbach.de/wahlen/,votemanager,http://wahlen.votemanager.de/,09778111,Gemeinde,09
Amberg,Bayern,http://www.amberg-sulzbach.de/wahlen/,votemanager,http://wahlen.votemanager.de/,09361000,Stadt,09
Amelinghausen,Niedersachsen,http://amelinghausen.de/fileadmin/kommunalwahl16/index.html,votemanager,http://wahlen.votemanager.de/,03355002,Gemeinde,03
Westerstede,Niedersachsen,http://votemanager.kdo.de/03451000/index.html,votemanager,http://wahlen.votemanager.de/,03451007,Stadt,03
Westerstede,Niedersachsen,http://votemanager.kdo.de/03451007/index.html,votemanager,http://wahlen.votemanager.de/,03451007,Stadt,03
Amtzell,Baden-Württemberg,http://wahlen11.rz-kiru.de/08436006W/index.html,votemanager,http://wahlen.votemanager.de/,08436006,Gemeinde,08
Andernach,Rheinland-Pfalz,https://wahlen.ewois.de/m196/index.html,votemanager,http://wahlen.votemanager.de/,07137003,Stadt,07
Andernach,Rheinland-Pfalz,http://FTP.Pellenz.de/wahl/index.html,votemanager,http://wahlen.votemanager.de/,07137003,Stadt,07
Angelburg,Hessen,http://angelburg.de/wahlweb/index.html,votemanager,http://wahlen.votemanager.de/,06534002,Gemeinde,06
Annweiler am Trifels,Rheinland-Pfalz,http://www.info-annweiler.de/Wahlen/index.html,votemanager,http://wahlen.votemanager.de/,07337501,Stadt,07
Anröchte,Nordrhein-Westfalen,http://wahlen.citkomm.de/05974004/index.html,votemanager,http://wahlen.votemanager.de/,05974004,Gemeinde,05
Ansbach,Bayern,http://www.landkreis-ansbach.de/Leben-im-Landkreis/Politik-die-voranbringt/Wahlen,votemanager,http://wahlen.votemanager.de/,09561000,Stadt,09
Antrifttal,Hessen,http://www.antrifttal.de/webapp/index.html,votemanager,http://wahlen.votemanager.de/,06535002,Gemeinde,06
Apen,Niedersachsen,http://votemanager.kdo.de/03451001/index.html,votemanager,http://wahlen.votemanager.de/,03451001,Gemeinde,03
Apolda,Thüringen,http://www.apolda.de/buerger_und_verwaltung/stadtrat/wahlen/ergebnisse/app/index.html,votemanager,http://wahlen.votemanager.de/,16071001,Stadt,16
Arnbruck,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-arnbruck_59.html,votemanager,http://wahlen.votemanager.de/,09276113,Gemeinde,09
Arnsberg,Nordrhein-Westfalen,http://wahlen.citkomm.de/05958004/index.html,votemanager,http://wahlen.votemanager.de/,05958004,Stadt,05
Arnstorf,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-arnstorf_118.html,votemanager,http://wahlen.votemanager.de/,09277111,Gemeinde,09
Aschaffenburg,Bayern,http://www.landkreis-aschaffenburg.de/landkreis/wahlen/,votemanager,http://wahlen.votemanager.de/,09661000,Stadt,09
Aschaffenburg,Bayern,http://www.aschaffenburg.de/de/Aktuelles/Wahlen/normal/gg/index.html,votemanager,http://wahlen.votemanager.de/,09661000,Stadt,09
Ascheberg,Nordrhein-Westfalen,http://www.ascheberg.de/wahlen/WebApp/index.html,votemanager,http://wahlen.votemanager.de/,05558004,Gemeinde,05
Attendorn,Nordrhein-Westfalen,http://wahlen.kdvz-frechen.de/kdz/05966004/index.html,votemanager,http://wahlen.votemanager.de/,05966004,Stadt,05
Wrestedt,Niedersachsen,http://itv-ue.de/wahlen/app/2016/aue/index.html,votemanager,http://wahlen.votemanager.de/,03360030,Gemeinde,03
Auerbach,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-auerbach_9.html,votemanager,http://wahlen.votemanager.de/,14521040,Gemeinde,14
Auerbach,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-auerbach_9.html,votemanager,http://wahlen.votemanager.de/,09271113,Gemeinde,09
Auetal,Niedersachsen,http://votemanager.kdo.de/03257003/index.html,votemanager,http://wahlen.votemanager.de/,03257003,Gemeinde,03
Augsburg,Bayern,http://www.landkreis-augsburg.de/Landkreis/Presse/Aktuelles-Mitteilungen.aspx?rssid=3d01aa76-9a7b-4e9a-a841-3a4dada1740c,votemanager,http://wahlen.votemanager.de/,09761000,Stadt,09
Augustdorf,Nordrhein-Westfalen,http://wahl.krz.de/05766004/index.html,votemanager,http://wahlen.votemanager.de/,05766004,Gemeinde,05
Aurich,Niedersachsen,http://wahl.landkreis-aurich.de/mobile/index.html,votemanager,http://wahlen.votemanager.de/,03452001,Stadt,03
Aurich,Niedersachsen,https://www.aurich.de/wahlen/03452001/,votemanager,http://wahlen.votemanager.de/,03452001,Stadt,03
Schöllnach,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-aussernzell_10.html,votemanager,http://wahlen.votemanager.de/,09271149,Gemeinde,09
Schöllnach,Bayern,http://www.wahl.info/kandidaten/ort/markt-schoellnach_6.html,votemanager,http://wahlen.votemanager.de/,09271149,Gemeinde,09
Bad Berleburg,Nordrhein-Westfalen,http://wahlen.kdvz-frechen.de/kdz/05970004/index.html,votemanager,http://wahlen.votemanager.de/,05970004,Stadt,05
Bad Birnbach,Bayern,http://www.wahl.info/kandidaten/ort/markt-bad-birnbach_119.html,votemanager,http://wahlen.votemanager.de/,09277113,Gemeinde,09
Bad Birnbach,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-bayerbach_125.html,votemanager,http://wahlen.votemanager.de/,09277113,Gemeinde,09
Bad Breisig,Rheinland-Pfalz,http://www.wahlen.badbreisig.de/index.html,votemanager,http://wahlen.votemanager.de/,07131006,Stadt,07
Bad Driburg,Nordrhein-Westfalen,http://wahlen.regioit.de/GT/05762004/index.html,votemanager,http://wahlen.votemanager.de/,05762004,Stadt,05
Bad Dürkheim,Rheinland-Pfalz,http://web.desvdue2.de/wahlen/index.html,votemanager,http://wahlen.votemanager.de/,07332002,Stadt,07
Bad Dürrheim,Baden-Württemberg,http://wahlen11.rz-kiru.de/08326003W/index.html,votemanager,http://wahlen.votemanager.de/,08326003,Stadt,08
Bad Ems,Rheinland-Pfalz,https://wahlen.ewois.de/m150/index.html,votemanager,http://wahlen.votemanager.de/,07141006,Stadt,07
Bad Ems,Rheinland-Pfalz,http://kvrlk.de/wahlen/webapp/index.html,votemanager,http://wahlen.votemanager.de/,07141006,Stadt,07
Bad Emstal,Hessen,http://www.bad-emstal.de/wahlen/webapp/index.html,votemanager,http://wahlen.votemanager.de/,06633006,Gemeinde,06
Bad Endbach,Hessen,http://www.bad-endbach.com/wahlen/index.html,votemanager,http://wahlen.votemanager.de/,06534003,Gemeinde,06
Bad Füssing,Bayern,http://www.wahl.info/kandidaten/ort/gemeinde-bad-fuessing_96.html,votemanager,http://wahlen.votemanager.de/,09275116,Gemeinde,09
Bad Gandersheim,Niedersachsen,https://wahlen.kdgoe.de/03155001/index.html,votemanager,http://wahlen.votemanager.de/,03155001,Stadt,03
Bad Grund (Harz),Niedersachsen,https://wahlen.kdgoe.de/03159016/index.html,votemanager,http://wahlen.votemanager.de/,03156017,Gemeinde,03
Bad Hönningen,Rheinland-Pfalz,https://wahlen.ewois.de/m086/index.html,votemanager,http://wahlen.votemanager.de/,07138004,Stadt,07
Bad Honnef,Nordrhein-Westfalen,http://wahlen.kdvz-frechen.de/civitec/05382008/index.html,votemanager,http://wahlen.votemanager.de/,05382008,Stadt,05
Bad Kötzting,Bayern,http://www.bad-koetzting.de/wahlen_online/,votemanager,http://wahlen.votemanager.de/,09372137,Stadt,09
Bad Kreuznach,Rheinland-Pfalz,http://5273478.de.strato-hosting.eu/pcwahl/index.html,votemanager,http://wahlen.votemanager.de/,07133006,Stadt,07
Bad Laasphe,Nordrhein-Westfalen,http://wahlen.kdvz-frechen.de/kdz/05970028/index.html,votemanager,http://wahlen.votemanager.de/,05970028,Stadt,05
Bad Lauterberg im Harz,Niedersachsen,https://wahlen.kdgoe.de/03159003/index.html,votemanager,http://wahlen.votemanager.de/,03156002,Stadt,03
Bad Liebenwerda,Brandenburg,http://www.badliebenwerda.de/ris/wahlen/index.html,votemanager,http://wahlen.votemanager.de/,12062024,Stadt,12
Bad Lippspringe,Nordrhein-Westfalen,http://wahlen.regioit.de/GT/05774008/index.html,votemanager,http://wahlen.votemanager.de/,05774008,Stadt,05
Bad Münder am Deister,Niedersachsen,http://votemanager.kdo.de/03252002/index.html,votemanager,http://wahlen.votemanager.de/,03252002,Stadt,03
Bad Münstereifel,Nordrhein-Westfalen,http://wahlen.kdvz-frechen.de/kdvz/05366004/index.html,votemanager,http://wahlen.votemanager.de/,05366004,Stadt,05
Bad Oeynhausen,Nordrhein-Westfalen,http://wahl.krz.de/05770004/index.html,votemanager,http://wahlen.votemanager.de/,05770004,Stadt,05
